food_name,protein,province,carbohydrate
건표고버섯볶음,2,2,8
멸치볶음(멸치만),15,3,5
새송이버섯볶음,1,2,4
오리볶음,10,11,7
중식잡채,2,2,14
쫄볶이,5,1,29
파래볶음,3,3,8
표고버섯볶음,1,1,4
호박볶음,1,2,4
갈치조림,6,2,4
달걀조림,9,5,7
닭도리탕,9,4,8
깐쇼새우,8,6,15
시래기나물,1,2,3
청경채나물,1,1,2
톳나물,3,2,3
간재미회무침,5,0,6
개고기무침,8,9,4
곤약무침,1,8,4
과일샐러드,0,5,7
돌나물,1,1,6
마늘장아찌무침,2,1,22
모자반무침,1,0,4
얼갈이겉절이,1,1,4
톳나물초무침,1,0,5
곤드레밥,2,1,17
율무밥,4,1,27
흑미밥,2,0,26
잔치국수,2,1,12
들깨국,1,1,2
소고기육개장,2,2,2
어묵국(어묵탕),2,1,4
감자구이,1,3,11
닭날개구이,11,7,4
닭다리구이,9,5,2
고추장볶음,9,5,43
동태까스,12,16,19
숙주미나리나물,1,1,2
갑오징어무침,5,1,6
느타리버섯무침,2,2,7
도토리묵무침,1,1,12
청포묵무침,2,2,7
돼지고기덮밥,8,3,26
유부국,1,1,1
돼지고기찜,11,3,9
햄전,20,14,8
미역냉국,1,0,3
햄채소볶음,6,3,4
무생채(무만),1,1,6
참나물겉절이,1,1,3
치커리겉절이,1,1,4
짜장소스,4,4,13
강냉이/팝콘,6,20,71
스낵과자,7,17,69
일반과자,8,20,67
전통과자,7,13,72
누가,5,12,73
마시멜로,3,1,86
사탕,1,2,94
양갱,3,1,69
캐러멜,3,9,80
코팅캔디,14,2,73
푸딩,0,1,20
껌,0,0,89
바게트/치아바타,9,7,47
빵,7,13,46
스콘,8,22,49
크로켓,5,4,28
타르트,5,19,42
파이/만쥬,6,21,46
호빵,7,3,47
떡,6,2,57
아이스밀크,3,7,23
빙과,0,2,22
볶음/비빔라면,8,14,63
우동면,4,2,34
파스타,10,1,61
과·채주스,1,0,12
과·채음료,0,0,15
탄산음료,0,0,8
탄산수,0,0,1
두유,3,3,6
발효음료,0,1,19
유산균음료,1,1,14
기타김치,2,0,10
장아찌,2,1,25
단무지/피클,1,15,6
과·채당절임,1,0,76
"기타 조림",6,2,36
막걸리,1,0,2
소주,0,0,0
청주,0,0,4
맥주,0,0,3
과실주,0,0,5
위스키,0,0,0
고량주,0,0,0
밀가루,10,2,75
땅콩버터,25,48,21
견과류,16,35,40
시리얼,10,9,73
과일가공품,2,1,49
채소가공품,3,7,24
두류가공품,17,7,23
서류가공품,4,2,57
"기타 농산가공품",9,4,71
빵가루,11,3,73
부침가루/튀김가루/믹스,9,4,75
호박씨분말,65,9,5
냉동과일,4,2,40
햄,17,14,6
발효소시지,25,30,3
베이컨,17,21,2
양념육,13,12,11
식육간편조리,6,3,2
"기타 식육가공품",14,12,13
달걀/메추리알,11,8,6
분유,19,21,53
전지/탈지분유,30,14,46
우유(멸균),3,4,5
강화우유,3,3,5
농후발효유,4,3,13
"우유,유당분해우유",3,3,4
가공우유,3,3,10
치즈,30,30,0
어묵,12,6,12
고등어,16,15,3
골뱅이,11,0,9
꽁치,15,13,3
연어,19,11,5
정어리,19,10,1
참치,16,11,5
젓갈/액젓,5,0,1
조미건어포,39,5,37
조미김,25,36,28
김자반,15,38,33
"기타 수산가공품",16,17,39
식용곤충,52,19,22
밥류,5,4,26
주먹밥/김밥/초밥,5,5,28
"즉석 면요리",6,5,24
죽,3,1,17
국/탕류,4,2,5
찌개/전골류,5,3,7
전,4,4,25
조림/찜,8,4,9
함박스테이크/미트볼,9,9,14
반찬,8,6,15
도시락,7,5,21
튀김,3,6,29
치킨,10,8,18
"기타 시리얼",19,10,62
시리얼바/에너지바/영양바,9,18,58
"즉석 빵",7,9,33
버거,9,13,26
"즉석 피자",9,9,21
육수,3,1,2
"기타 음료",1,2,8
